場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率
中山,芝,2200,まくり,6,3,5,0.5,0.8333
中山,芝,2200,先行,57,6,23,0.1053,0.4035
中山,芝,2200,差し,110,5,15,0.0455,0.1364
中山,芝,2200,逃げ,17,2,6,0.1176,0.3529
中山,芝,2500,まくり,3,0,0,0.0,0.0
中山,芝,2500,先行,62,6,23,0.0968,0.371
中山,芝,2500,差し,126,9,22,0.0714,0.1746
中山,芝,2500,逃げ,19,2,6,0.1053,0.3158
京都,ダ,1200,先行,132,12,38,0.0909,0.2879
京都,ダ,1200,差し,391,16,53,0.0409,0.1355
京都,ダ,1200,逃げ,37,9,20,0.2432,0.5405
京都,ダ,1400,先行,146,20,52,0.137,0.3562
京都,ダ,1400,差し,402,11,48,0.0274,0.1194
京都,ダ,1400,逃げ,40,9,20,0.225,0.5
京都,ダ,1800,まくり,14,1,8,0.0714,0.5714
京都,ダ,1800,先行,218,28,87,0.1284,0.3991
京都,ダ,1800,差し,526,23,73,0.0437,0.1388
京都,ダ,1800,逃げ,66,13,27,0.197,0.4091
京都,ダ,1900,まくり,9,5,5,0.5556,0.5556
京都,ダ,1900,先行,78,11,30,0.141,0.3846
京都,ダ,1900,差し,212,8,34,0.0377,0.1604
京都,ダ,1900,逃げ,27,1,6,0.037,0.2222
京都,芝,1200,先行,58,8,14,0.1379,0.2414
京都,芝,1200,差し,168,6,30,0.0357,0.1786
京都,芝,1200,逃げ,16,2,4,0.125,0.25
京都,芝,1400,まくり,1,0,0,0.0,0.0
京都,芝,1400,先行,111,13,34,0.1171,0.3063
京都,芝,1400,差し,296,16,51,0.0541,0.1723
京都,芝,1400,逃げ,31,2,8,0.0645,0.2581
京都,芝,1600,まくり,1,0,0,0.0,0.0
京都,芝,1600,先行,131,15,48,0.1145,0.3664
京都,芝,1600,差し,259,14,51,0.0541,0.1969
京都,芝,1600,逃げ,37,8,12,0.2162,0.3243
京都,芝,1800,まくり,4,0,0,0.0,0.0
京都,芝,1800,先行,100,19,43,0.19,0.43
京都,芝,1800,差し,145,7,33,0.0483,0.2276
京都,芝,1800,逃げ,29,3,11,0.1034,0.3793
京都,芝,2000,まくり,5,0,2,0.0,0.4
京都,芝,2000,先行,85,14,30,0.1647,0.3529
京都,芝,2000,差し,163,9,36,0.0552,0.2209
京都,芝,2000,逃げ,26,3,10,0.1154,0.3846
京都,芝,2200,まくり,3,0,0,0.0,0.0
京都,芝,2200,先行,46,6,14,0.1304,0.3043
京都,芝,2200,差し,92,7,23,0.0761,0.25
京都,芝,2200,逃げ,15,1,5,0.0667,0.3333
京都,芝,2400,まくり,3,0,1,0.0,0.3333
京都,芝,2400,先行,35,7,15,0.2,0.4286
京都,芝,2400,差し,65,4,12,0.0615,0.1846
京都,芝,2400,逃げ,13,0,5,0.0,0.3846
京都,芝,3000,先行,3,0,0,0.0,0.0
京都,芝,3000,差し,13,1,3,0.0769,0.2308
京都,芝,3000,逃げ,1,0,0,0.0,0.0
函館,ダ,1000,先行,86,10,40,0.1163,0.4651
函館,ダ,1000,差し,164,3,14,0.0183,0.0854
函館,ダ,1000,逃げ,24,11,18,0.4583,0.75
函館,ダ,1700,まくり,15,5,8,0.3333,0.5333
函館,ダ,1700,先行,170,28,82,0.1647,0.4824
函館,ダ,1700,差し,410,11,45,0.0268,0.1098
函館,ダ,1700,逃げ,59,10,27,0.1695,0.4576
函館,ダ,2400,まくり,3,0,1,0.0,0.3333
函館,ダ,2400,先行,10,2,4,0.2,0.4
函館,ダ,2400,差し,13,0,3,0.0,0.2308
函館,ダ,2400,逃げ,3,1,1,0.3333,0.3333
函館,芝,1200,先行,202,25,70,0.1238,0.3465
函館,芝,1200,差し,467,18,76,0.0385,0.1627
函館,芝,1200,逃げ,57,15,25,0.2632,0.4386
函館,芝,1800,まくり,8,3,4,0.375,0.5
函館,芝,1800,先行,88,10,34,0.1136,0.3864
函館,芝,1800,差し,197,7,29,0.0355,0.1472
函館,芝,1800,逃げ,26,6,11,0.2308,0.4231
函館,芝,2000,まくり,6,1,4,0.1667,0.6667
函館,芝,2000,先行,63,9,23,0.1429,0.3651
函館,芝,2000,差し,118,6,20,0.0508,0.1695
函館,芝,2000,逃げ,19,3,10,0.1579,0.5263
函館,芝,2600,まくり,2,0,1,0.0,0.5
函館,芝,2600,先行,46,11,20,0.2391,0.4348
函館,芝,2600,差し,69,0,11,0.0,0.1594
函館,芝,2600,逃げ,13,1,4,0.0769,0.3077
小倉,ダ,1000,先行,91,11,36,0.1209,0.3956
小倉,ダ,1000,差し,212,2,17,0.0094,0.0802
小倉,ダ,1000,逃げ,25,12,22,0.48,0.88
小倉,ダ,1700,まくり,19,4,14,0.2105,0.7368
小倉,ダ,1700,先行,327,47,136,0.1437,0.4159
小倉,ダ,1700,差し,949,22,89,0.0232,0.0938
小倉,ダ,1700,逃げ,104,23,49,0.2212,0.4712
小倉,ダ,2400,先行,12,3,7,0.25,0.5833
小倉,ダ,2400,差し,21,0,2,0.0,0.0952
小倉,ダ,2400,逃げ,3,0,0,0.0,0.0
小倉,芝,1200,まくり,1,0,1,0.0,1.0
小倉,芝,1200,先行,304,28,92,0.0921,0.3026
小倉,芝,1200,差し,815,37,112,0.0454,0.1374
小倉,芝,1200,逃げ,80,15,35,0.1875,0.4375
小倉,芝,1800,まくり,9,1,3,0.1111,0.3333
小倉,芝,1800,先行,166,23,67,0.1386,0.4036
小倉,芝,1800,差し,387,11,46,0.0284,0.1189
小倉,芝,1800,逃げ,48,12,25,0.25,0.5208
小倉,芝,2000,まくり,11,2,6,0.1818,0.5455
小倉,芝,2000,先行,151,24,57,0.1589,0.3775
小倉,芝,2000,差し,300,11,51,0.0367,0.17
小倉,芝,2000,逃げ,50,6,15,0.12,0.3
小倉,芝,2600,まくり,12,3,7,0.25,0.5833
小倉,芝,2600,先行,62,9,27,0.1452,0.4355
小倉,芝,2600,差し,139,6,19,0.0432,0.1367
小倉,芝,2600,逃げ,21,2,7,0.0952,0.3333
新潟,ダ,1200,先行,247,28,83,0.1134,0.336
新潟,ダ,1200,差し,641,27,88,0.0421,0.1373
新潟,ダ,1200,逃げ,67,13,30,0.194,0.4478
新潟,ダ,1800,まくり,12,2,6,0.1667,0.5
