日付S,場所,Ｒ,レース名,馬番,馬名,着順,確定着順,単勝配当,複勝配当,前走場所,前芝・ダ,前距離,前走頭数,前走出走頭数,前3角,前4角,前走競馬場,前走芝ダ,前走距離数値,前走頭数_final,前3角_final,前4角_final,前3角相対位置,前3角位置カテゴリ,前4角相対位置,前4角位置カテゴリ,win_flag,place_flag,単勝払戻,複勝払戻
2023.4.16,阪神,11,アンタレG3,10,ゴールドハイアー,８,8,(35.5),,阪神,ダ,2000.0,16.0,16.0,6.0,7.0,阪神,ダ,2000.0,16.0,6.0,7.0,0.375,4-6番手,0.4375,4-6番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,3,ゲンパチルシファー,９,9,(89.1),,中山,ダ,1800.0,16.0,16.0,7.0,8.0,中山,ダ,1800.0,16.0,7.0,8.0,0.4375,4-6番手,0.5,7-10番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,6,サンライズホープ,10,10,(20.8),,中山,ダ,1800.0,16.0,16.0,12.0,14.0,中山,ダ,1800.0,16.0,12.0,14.0,0.75,7-10番手,0.875,11番手以下,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,4,キタノリューオー,11,11,(94.8),,中山,ダ,1800.0,16.0,16.0,9.0,7.0,中山,ダ,1800.0,16.0,9.0,7.0,0.5625,7-10番手,0.4375,4-6番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,13,ロードブレス,12,12,(34.2),,大井,ダ,2000.0,15.0,15.0,11.0,6.0,大井,ダ,2000.0,15.0,11.0,6.0,0.7333333333333333,7-10番手,0.4,4-6番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,8,フルデプスリーダー,13,13,(60.1),,東京,ダ,1600.0,16.0,16.0,10.0,8.0,東京,ダ,1600.0,16.0,10.0,8.0,0.625,7-10番手,0.5,7-10番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,5,ダイメイコリーダ,14,14,(310.5),,中山,ダ,1800.0,16.0,16.0,3.0,3.0,中山,ダ,1800.0,16.0,3.0,3.0,0.1875,2-3番手,0.1875,2-3番手,0,0,0.0,0.0
2023.4.16,阪神,11,アンタレG3,14,オセアダイナスティ,15,15,(148.9),,東京,ダ,1400.0,16.0,16.0,13.0,12.0,東京,ダ,1400.0,16.0,13.0,12.0,0.8125,7-10番手,0.75,7-10番手,0,0,0.0,0.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,9,アナゴサン,１,1,470,170.0,阪神,芝,2000.0,13.0,13.0,3.0,3.0,阪神,芝,2000.0,13.0,3.0,3.0,0.23076923076923078,2-3番手,0.23076923076923078,2-3番手,1,1,470.0,170.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,3,ボルザコフスキー,２,2,(4.7),150.0,阪神,芝,1400.0,15.0,15.0,12.0,12.0,阪神,芝,1400.0,15.0,12.0,12.0,0.8,7-10番手,0.8,7-10番手,0,1,0.0,150.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,4,ロワンディシー,３,3,(7.6),200.0,阪神,芝,1600.0,10.0,10.0,4.0,4.0,阪神,芝,1600.0,10.0,4.0,4.0,0.4,4-6番手,0.4,4-6番手,0,1,0.0,200.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,7,タガノディアーナ,４,4,(24.6),,中京,芝,1600.0,10.0,10.0,7.0,7.0,中京,芝,1600.0,10.0,7.0,7.0,0.7,7-10番手,0.7,7-10番手,0,0,0.0,0.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,5,ボーデン,５,5,(7.1),,中山,芝,1600.0,16.0,16.0,14.0,14.0,中山,芝,1600.0,16.0,14.0,14.0,0.875,11番手以下,0.875,11番手以下,0,0,0.0,0.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,6,オールイズウェル,６,6,(16.3),,阪神,芝,1800.0,12.0,11.0,5.0,5.0,阪神,芝,1800.0,11.0,5.0,5.0,0.45454545454545453,7-10番手,0.45454545454545453,7-10番手,0,0,0.0,0.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,8,レベレンシア,７,7,(3.2),,阪神,芝,1600.0,10.0,10.0,2.0,2.0,阪神,芝,1600.0,10.0,2.0,2.0,0.2,2-3番手,0.2,2-3番手,0,0,0.0,0.0
2023.4.16,阪神,10,立雲峡Ｓ･3勝,1,メモリーエフェクト,８,8,(13.2),,中京,芝,1600.0,10.0,10.0,3.0,2.0,中京,芝,1600.0,10.0,3.0,2.0,0.3,4-6番手,0.2,2-3番手,0,0,0.0,0.0
