競馬場,芝ダ,距離数値,前走場所,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
東京,ダ,1400.0,福島,84,3,7,0.0357,0.0833,117.1,16.5
東京,ダ,1400.0,京都,53,2,10,0.0377,0.1887,101.2,227.5
東京,ダ,1400.0,小倉,31,1,3,0.0323,0.0968,187.1,49.0
東京,ダ,1400.0,札幌,22,3,4,0.1364,0.1818,180.3,49.5
東京,ダ,1600.0,東京,975,77,241,0.079,0.2472,122.0,75.1
東京,ダ,1600.0,中山,487,30,86,0.0616,0.1766,119.9,49.0
東京,ダ,1600.0,阪神,162,13,34,0.0802,0.2099,123.1,90.7
東京,ダ,1600.0,新潟,160,16,30,0.1,0.1875,147.9,53.3
東京,ダ,1600.0,中京,135,9,28,0.0667,0.2074,135.2,85.9
東京,ダ,1600.0,福島,109,1,13,0.0092,0.1193,114.5,47.6
東京,ダ,1600.0,京都,79,4,11,0.0506,0.1392,189.4,50.3
東京,ダ,1600.0,小倉,40,4,8,0.1,0.2,187.2,51.2
東京,ダ,1600.0,札幌,36,0,7,0.0,0.1944,49.8,70.0
東京,ダ,1600.0,川崎,24,3,5,0.125,0.2083,182.9,132.1
東京,ダ,1600.0,大井,21,0,4,0.0,0.1905,53.8,55.2
東京,ダ,2100.0,東京,273,25,71,0.0916,0.2601,126.3,60.0
東京,ダ,2100.0,中山,241,12,48,0.0498,0.1992,120.7,55.5
東京,ダ,2100.0,阪神,118,9,23,0.0763,0.1949,96.0,53.6
東京,ダ,2100.0,中京,97,5,15,0.0515,0.1546,80.8,35.3
東京,ダ,2100.0,新潟,64,2,9,0.0312,0.1406,89.9,33.0
東京,ダ,2100.0,京都,38,5,8,0.1316,0.2105,118.0,38.9
東京,ダ,2100.0,福島,25,1,3,0.04,0.12,110.4,29.6
東京,芝,1400.0,東京,340,22,88,0.0647,0.2588,89.0,63.6
東京,芝,1400.0,中山,222,10,43,0.045,0.1937,254.8,82.7
東京,芝,1400.0,新潟,118,11,20,0.0932,0.1695,230.4,58.6
東京,芝,1400.0,阪神,108,14,29,0.1296,0.2685,279.2,78.1
東京,芝,1400.0,中京,107,12,28,0.1121,0.2617,166.9,66.2
東京,芝,1400.0,京都,63,6,14,0.0952,0.2222,232.4,94.9
東京,芝,1400.0,福島,53,1,7,0.0189,0.1321,209.0,71.1
東京,芝,1400.0,札幌,23,3,5,0.1304,0.2174,127.7,36.5
東京,芝,1400.0,小倉,20,0,3,0.0,0.15,42.6,63.0
東京,芝,1600.0,東京,384,36,109,0.0938,0.2839,115.3,63.6
東京,芝,1600.0,中山,263,17,55,0.0646,0.2091,125.9,50.6
東京,芝,1600.0,阪神,140,15,35,0.1071,0.25,251.9,103.6
東京,芝,1600.0,新潟,120,7,24,0.0583,0.2,106.9,80.0
東京,芝,1600.0,中京,81,1,14,0.0123,0.1728,71.9,54.4
東京,芝,1600.0,京都,39,4,8,0.1026,0.2051,102.2,35.4
東京,芝,1600.0,札幌,27,4,5,0.1481,0.1852,176.8,51.5
東京,芝,1600.0,福島,26,0,3,0.0,0.1154,146.5,66.2
東京,芝,1800.0,東京,279,33,79,0.1183,0.2832,131.7,64.4
東京,芝,1800.0,中山,205,18,52,0.0878,0.2537,90.9,64.3
東京,芝,1800.0,新潟,92,6,16,0.0652,0.1739,110.5,47.8
東京,芝,1800.0,阪神,77,8,28,0.1039,0.3636,149.3,99.6
東京,芝,1800.0,中京,50,3,18,0.06,0.36,72.3,140.0
東京,芝,1800.0,京都,40,3,12,0.075,0.3,85.3,151.5
東京,芝,1800.0,福島,39,1,3,0.0256,0.0769,147.4,26.2
東京,芝,1800.0,札幌,29,0,4,0.0,0.1379,64.4,34.5
東京,芝,2000.0,東京,200,17,52,0.085,0.26,136.2,65.6
東京,芝,2000.0,中山,185,19,52,0.1027,0.2811,114.7,78.4
東京,芝,2000.0,阪神,64,5,19,0.0781,0.2969,81.2,60.3
東京,芝,2000.0,中京,52,4,16,0.0769,0.3077,107.9,74.4
東京,芝,2000.0,新潟,50,4,15,0.08,0.3,117.9,60.4
東京,芝,2000.0,札幌,29,5,10,0.1724,0.3448,180.5,106.2
東京,芝,2000.0,福島,28,2,5,0.0714,0.1786,131.3,47.9
