場所,芝ダ,距離,前走場所,母数,勝利数,複勝数,単勝率,複勝率
新潟,ダ,1200,福島,131,5,23,0.0382,0.1756
新潟,ダ,1200,笠松,4,0,0,0.0,0.0
新潟,ダ,1200,金沢,3,0,1,0.0,0.3333
新潟,ダ,1200,門別,7,0,0,0.0,0.0
新潟,ダ,1200,阪神,106,9,28,0.0849,0.2642
新潟,ダ,1800,中京,115,11,33,0.0957,0.287
新潟,ダ,1800,中山,135,13,27,0.0963,0.2
新潟,ダ,1800,京都,48,1,9,0.0208,0.1875
新潟,ダ,1800,函館,17,0,1,0.0,0.0588
新潟,ダ,1800,名古,2,0,0,0.0,0.0
新潟,ダ,1800,園田,4,1,1,0.25,0.25
新潟,ダ,1800,大井,3,0,0,0.0,0.0
新潟,ダ,1800,姫路,1,0,0,0.0,0.0
新潟,ダ,1800,小倉,79,10,21,0.1266,0.2658
新潟,ダ,1800,川崎,3,0,0,0.0,0.0
新潟,ダ,1800,新潟,199,13,48,0.0653,0.2412
新潟,ダ,1800,札幌,15,1,1,0.0667,0.0667
新潟,ダ,1800,東京,181,8,32,0.0442,0.1768
新潟,ダ,1800,浦和,1,0,0,0.0,0.0
新潟,ダ,1800,盛岡,2,0,0,0.0,0.0
新潟,ダ,1800,福島,193,13,42,0.0674,0.2176
新潟,ダ,1800,笠松,3,0,1,0.0,0.3333
新潟,ダ,1800,船橋,3,0,1,0.0,0.3333
新潟,ダ,1800,金沢,3,0,1,0.0,0.3333
新潟,ダ,1800,門別,3,0,0,0.0,0.0
新潟,ダ,1800,阪神,108,10,25,0.0926,0.2315
新潟,芝,1000,中京,23,3,4,0.1304,0.1739
新潟,芝,1000,中山,76,7,20,0.0921,0.2632
新潟,芝,1000,京都,16,1,3,0.0625,0.1875
新潟,芝,1000,函館,19,0,2,0.0,0.1053
新潟,芝,1000,名古,3,0,0,0.0,0.0
新潟,芝,1000,園田,1,0,0,0.0,0.0
新潟,芝,1000,大井,1,0,0,0.0,0.0
新潟,芝,1000,姫路,2,0,0,0.0,0.0
新潟,芝,1000,小倉,80,1,11,0.0125,0.1375
新潟,芝,1000,川崎,2,0,0,0.0,0.0
新潟,芝,1000,新潟,227,18,45,0.0793,0.1982
新潟,芝,1000,札幌,17,1,2,0.0588,0.1176
新潟,芝,1000,東京,31,1,5,0.0323,0.1613
新潟,芝,1000,浦和,2,0,1,0.0,0.5
新潟,芝,1000,盛岡,2,0,0,0.0,0.0
新潟,芝,1000,福島,66,3,11,0.0455,0.1667
新潟,芝,1000,笠松,2,0,0,0.0,0.0
新潟,芝,1000,船橋,1,0,0,0.0,0.0
新潟,芝,1000,金沢,2,0,0,0.0,0.0
新潟,芝,1000,門別,2,0,0,0.0,0.0
新潟,芝,1000,阪神,33,1,4,0.0303,0.1212
新潟,芝,1200,中京,29,2,6,0.069,0.2069
新潟,芝,1200,中山,56,2,11,0.0357,0.1964
新潟,芝,1200,京都,3,0,0,0.0,0.0
新潟,芝,1200,函館,8,0,3,0.0,0.375
新潟,芝,1200,名古,2,0,0,0.0,0.0
新潟,芝,1200,園田,1,0,0,0.0,0.0
新潟,芝,1200,小倉,42,5,11,0.119,0.2619
新潟,芝,1200,新潟,55,5,10,0.0909,0.1818
新潟,芝,1200,札幌,17,0,2,0.0,0.1176
新潟,芝,1200,東京,24,1,6,0.0417,0.25
新潟,芝,1200,水沢,1,0,0,0.0,0.0
新潟,芝,1200,福島,75,4,12,0.0533,0.16
新潟,芝,1200,笠松,2,0,0,0.0,0.0
新潟,芝,1200,門別,1,0,0,0.0,0.0
新潟,芝,1200,阪神,27,3,5,0.1111,0.1852
新潟,芝,1400,中京,46,5,12,0.1087,0.2609
新潟,芝,1400,中山,23,0,3,0.0,0.1304
新潟,芝,1400,京都,14,2,3,0.1429,0.2143
新潟,芝,1400,佐賀,2,0,0,0.0,0.0
新潟,芝,1400,函館,8,0,0,0.0,0.0
新潟,芝,1400,名古,2,0,0,0.0,0.0
新潟,芝,1400,園田,3,0,0,0.0,0.0
新潟,芝,1400,大井,1,0,1,0.0,1.0
新潟,芝,1400,姫路,1,0,0,0.0,0.0
新潟,芝,1400,小倉,33,1,4,0.0303,0.1212
新潟,芝,1400,新潟,66,2,14,0.0303,0.2121
新潟,芝,1400,札幌,18,1,2,0.0556,0.1111
新潟,芝,1400,東京,103,7,24,0.068,0.233
新潟,芝,1400,盛岡,1,0,0,0.0,0.0
新潟,芝,1400,福島,41,3,5,0.0732,0.122
新潟,芝,1400,笠松,2,0,0,0.0,0.0
新潟,芝,1400,金沢,2,0,0,0.0,0.0
新潟,芝,1400,阪神,28,3,5,0.1071,0.1786
新潟,芝,1600,中京,61,4,11,0.0656,0.1803
新潟,芝,1600,中山,33,0,3,0.0,0.0909
新潟,芝,1600,京都,16,1,2,0.0625,0.125
新潟,芝,1600,園田,1,0,1,0.0,1.0
新潟,芝,1600,小倉,16,0,4,0.0,0.25
新潟,芝,1600,新潟,52,3,14,0.0577,0.2692
新潟,芝,1600,札幌,3,0,0,0.0,0.0
新潟,芝,1600,東京,70,3,11,0.0429,0.1571
新潟,芝,1600,浦和,1,0,0,0.0,0.0
新潟,芝,1600,盛岡,2,0,0,0.0,0.0
新潟,芝,1600,福島,29,3,7,0.1034,0.2414
新潟,芝,1600,笠松,1,1,1,1.0,1.0
新潟,芝,1600,門別,1,0,0,0.0,0.0
新潟,芝,1600,阪神,38,7,12,0.1842,0.3158
新潟,芝,1600,高知,1,0,0,0.0,0.0
新潟,芝,1800,中京,37,2,7,0.0541,0.1892
新潟,芝,1800,中山,52,5,14,0.0962,0.2692
新潟,芝,1800,京都,25,4,7,0.16,0.28
新潟,芝,1800,佐賀,1,0,0,0.0,0.0
新潟,芝,1800,函館,7,1,2,0.1429,0.2857
新潟,芝,1800,園田,2,0,0,0.0,0.0
新潟,芝,1800,小倉,37,3,6,0.0811,0.1622
新潟,芝,1800,新潟,79,6,18,0.0759,0.2278
新潟,芝,1800,札幌,15,1,5,0.0667,0.3333
新潟,芝,1800,東京,88,7,21,0.0795,0.2386
新潟,芝,1800,盛岡,1,0,0,0.0,0.0
新潟,芝,1800,福島,72,2,16,0.0278,0.2222
新潟,芝,1800,笠松,2,0,1,0.0,0.5
新潟,芝,1800,阪神,44,5,11,0.1136,0.25
新潟,芝,2000,中京,40,3,13,0.075,0.325
新潟,芝,2000,中山,22,2,6,0.0909,0.2727
新潟,芝,2000,京都,16,1,2,0.0625,0.125
新潟,芝,2000,函館,2,0,0,0.0,0.0
新潟,芝,2000,大井,1,0,0,0.0,0.0
新潟,芝,2000,小倉,19,2,5,0.1053,0.2632
新潟,芝,2000,川崎,1,0,0,0.0,0.0
新潟,芝,2000,新潟,46,4,9,0.087,0.1957
新潟,芝,2000,札幌,14,0,2,0.0,0.1429
新潟,芝,2000,東京,43,4,12,0.093,0.2791
新潟,芝,2000,盛岡,1,0,0,0.0,0.0
新潟,芝,2000,福島,52,2,13,0.0385,0.25
新潟,芝,2000,笠松,3,0,0,0.0,0.0
新潟,芝,2000,阪神,25,6,10,0.24,0.4
新潟,芝,2200,中京,20,1,5,0.05,0.25
新潟,芝,2200,中山,16,1,3,0.0625,0.1875
新潟,芝,2200,京都,11,2,3,0.1818,0.2727
新潟,芝,2200,佐賀,1,0,0,0.0,0.0
新潟,芝,2200,函館,2,0,0,0.0,0.0
新潟,芝,2200,名古,1,0,0,0.0,0.0
新潟,芝,2200,園田,1,0,0,0.0,0.0
新潟,芝,2200,小倉,16,3,4,0.1875,0.25
新潟,芝,2200,新潟,30,2,5,0.0667,0.1667
新潟,芝,2200,札幌,9,0,2,0.0,0.2222
新潟,芝,2200,東京,39,4,10,0.1026,0.2564
新潟,芝,2200,福島,34,0,9,0.0,0.2647
新潟,芝,2200,船橋,1,0,0,0.0,0.0
新潟,芝,2200,阪神,15,2,4,0.1333,0.2667
新潟,芝,2200,高知,1,0,0,0.0,0.0
新潟,芝,2400,中京,5,1,2,0.2,0.4
新潟,芝,2400,中山,4,1,1,0.25,0.25
新潟,芝,2400,名古,1,0,0,0.0,0.0
新潟,芝,2400,園田,1,0,1,0.0,1.0
新潟,芝,2400,小倉,3,0,0,0.0,0.0
新潟,芝,2400,新潟,19,2,4,0.1053,0.2105
新潟,芝,2400,札幌,4,0,1,0.0,0.25
新潟,芝,2400,東京,12,0,1,0.0,0.0833
新潟,芝,2400,福島,8,1,3,0.125,0.375
新潟,芝,2400,阪神,4,0,2,0.0,0.5
札幌,ダ,1000,中京,8,2,3,0.25,0.375
札幌,ダ,1000,中山,2,0,0,0.0,0.0
札幌,ダ,1000,京都,6,1,2,0.1667,0.3333
札幌,ダ,1000,函館,82,7,19,0.0854,0.2317
札幌,ダ,1000,名古,1,0,0,0.0,0.0
札幌,ダ,1000,小倉,9,1,4,0.1111,0.4444
札幌,ダ,1000,川崎,2,1,1,0.5,0.5
札幌,ダ,1000,新潟,10,1,3,0.1,0.3
札幌,ダ,1000,札幌,73,5,17,0.0685,0.2329
札幌,ダ,1000,東京,15,0,7,0.0,0.4667
札幌,ダ,1000,福島,6,0,0,0.0,0.0
札幌,ダ,1000,笠松,1,0,0,0.0,0.0
札幌,ダ,1000,阪神,3,1,1,0.3333,0.3333
