場所,芝ダ,距離,位置取りゾーン,母数,勝利数,複勝数,単勝率,複勝率
阪神,芝,1600.0,後方,212,18,45,0.0849,0.2123
阪神,芝,1800.0,中団,159,17,52,0.1069,0.327
阪神,芝,1800.0,前,98,10,26,0.102,0.2653
阪神,芝,1800.0,好位,148,13,45,0.0878,0.3041
阪神,芝,1800.0,後方,105,7,18,0.0667,0.1714
阪神,芝,2000.0,中団,166,10,40,0.0602,0.241
阪神,芝,2000.0,前,117,18,39,0.1538,0.3333
阪神,芝,2000.0,好位,167,17,46,0.1018,0.2754
阪神,芝,2000.0,後方,121,5,26,0.0413,0.2149
阪神,芝,2200.0,中団,55,5,13,0.0909,0.2364
阪神,芝,2200.0,前,32,4,9,0.125,0.2812
阪神,芝,2200.0,好位,48,2,14,0.0417,0.2917
阪神,芝,2200.0,後方,29,1,6,0.0345,0.2069
阪神,芝,2400.0,中団,95,10,32,0.1053,0.3368
阪神,芝,2400.0,前,41,7,13,0.1707,0.3171
阪神,芝,2400.0,好位,79,8,26,0.1013,0.3291
阪神,芝,2400.0,後方,53,2,9,0.0377,0.1698
阪神,芝,2600.0,中団,24,3,6,0.125,0.25
阪神,芝,2600.0,前,11,1,5,0.0909,0.4545
阪神,芝,2600.0,好位,18,1,5,0.0556,0.2778
阪神,芝,2600.0,後方,14,1,2,0.0714,0.1429
阪神,芝,3000.0,中団,22,1,6,0.0455,0.2727
阪神,芝,3000.0,前,14,1,1,0.0714,0.0714
阪神,芝,3000.0,好位,31,3,7,0.0968,0.2258
阪神,芝,3000.0,後方,19,1,4,0.0526,0.2105
阪神,芝,3140.0,中団,14,0,3,0.0,0.2143
阪神,芝,3140.0,前,15,2,6,0.1333,0.4
阪神,芝,3140.0,好位,11,2,2,0.1818,0.1818
阪神,芝,3140.0,後方,5,0,1,0.0,0.2
阪神,芝,3200.0,中団,7,0,0,0.0,0.0
阪神,芝,3200.0,前,4,1,1,0.25,0.25
阪神,芝,3200.0,好位,5,0,2,0.0,0.4
阪神,芝,3200.0,後方,2,0,0,0.0,0.0
阪神,芝,3900.0,中団,7,1,1,0.1429,0.1429
阪神,芝,3900.0,前,10,1,4,0.1,0.4
阪神,芝,3900.0,好位,4,0,1,0.0,0.25
阪神,芝,3900.0,後方,1,0,0,0.0,0.0
