前走競馬場,前走芝ダ,前走距離数値,前4角位置カテゴリ,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
阪神,芝,1600.0,10番手以下,258,22,57,0.0853,0.2209,121.7,65.9
阪神,芝,1800.0,1番手,62,6,16,0.0968,0.2581,149.6,78.1
阪神,芝,1800.0,2-3番手,151,25,53,0.1656,0.351,143.7,83.2
阪神,芝,1800.0,4-6番手,158,27,50,0.1709,0.3165,128.8,67.2
阪神,芝,1800.0,7-9番手,120,10,35,0.0833,0.2917,107.4,85.6
阪神,芝,1800.0,10番手以下,84,8,15,0.0952,0.1786,107.0,38.2
阪神,芝,2000.0,1番手,61,10,16,0.1639,0.2623,226.5,80.2
阪神,芝,2000.0,2-3番手,153,16,49,0.1046,0.3203,66.3,90.5
阪神,芝,2000.0,4-6番手,188,15,60,0.0798,0.3191,87.2,82.0
阪神,芝,2000.0,7-9番手,136,10,29,0.0735,0.2132,91.6,41.5
阪神,芝,2000.0,10番手以下,108,6,21,0.0556,0.1944,131.4,67.6
阪神,芝,2200.0,2-3番手,49,5,13,0.102,0.2653,125.4,64.9
阪神,芝,2200.0,4-6番手,39,4,10,0.1026,0.2564,86.5,47.2
阪神,芝,2200.0,7-9番手,32,4,10,0.125,0.3125,95.9,124.7
阪神,芝,2200.0,10番手以下,35,1,9,0.0286,0.2571,123.0,129.1
阪神,芝,2400.0,1番手,32,3,7,0.0938,0.2188,142.3,42.8
阪神,芝,2400.0,2-3番手,87,11,29,0.1264,0.3333,119.5,63.9
阪神,芝,2400.0,4-6番手,81,9,26,0.1111,0.321,162.3,66.2
阪神,芝,2400.0,7-9番手,70,2,15,0.0286,0.2143,65.8,51.7
阪神,芝,2400.0,10番手以下,43,3,6,0.0698,0.1395,150.9,54.4
阪神,芝,2600.0,7-9番手,20,1,3,0.05,0.15,114.6,17.0
阪神,芝,3000.0,2-3番手,20,3,7,0.15,0.35,91.9,128.5
阪神,芝,3000.0,4-6番手,20,0,5,0.0,0.25,33.1,61.0
阪神,芝,3000.0,10番手以下,21,0,2,0.0,0.0952,83.5,19.0
