場所,芝ダ,距離,勝ち方,母数,勝利数,複勝数,単勝率,複勝率
東京,ダ,2100,差し,291,18,60,0.0619,0.2062
東京,ダ,2100,追い込み,223,8,22,0.0359,0.0987
東京,ダ,2100,逃げ切り,51,7,17,0.1373,0.3333
東京,芝,1400,まくり,1,0,1,0.0,1.0
東京,芝,1400,先行押し切り,231,20,62,0.0866,0.2684
東京,芝,1400,差し,362,27,81,0.0746,0.2238
東京,芝,1400,追い込み,278,11,33,0.0396,0.1187
東京,芝,1400,逃げ切り,68,10,28,0.1471,0.4118
東京,芝,1600,先行押し切り,209,26,68,0.1244,0.3254
東京,芝,1600,差し,246,25,72,0.1016,0.2927
東京,芝,1600,追い込み,220,3,19,0.0136,0.0864
東京,芝,1600,逃げ切り,60,6,21,0.1,0.35
東京,芝,1800,まくり,2,0,1,0.0,0.5
東京,芝,1800,先行押し切り,167,19,57,0.1138,0.3413
東京,芝,1800,差し,180,20,61,0.1111,0.3389
東京,芝,1800,追い込み,168,5,15,0.0298,0.0893
東京,芝,1800,逃げ切り,60,8,22,0.1333,0.3667
東京,芝,2000,まくり,11,0,3,0.0,0.2727
東京,芝,2000,先行押し切り,171,24,60,0.1404,0.3509
東京,芝,2000,差し,174,11,44,0.0632,0.2529
東京,芝,2000,追い込み,168,12,34,0.0714,0.2024
東京,芝,2000,逃げ切り,59,6,18,0.1017,0.3051
東京,芝,2300,まくり,1,0,0,0.0,0.0
東京,芝,2300,先行押し切り,14,1,2,0.0714,0.1429
東京,芝,2300,差し,13,3,9,0.2308,0.6923
東京,芝,2300,追い込み,7,0,0,0.0,0.0
東京,芝,2300,逃げ切り,4,0,1,0.0,0.25
東京,芝,2400,まくり,9,1,4,0.1111,0.4444
東京,芝,2400,先行押し切り,147,18,57,0.1224,0.3878
東京,芝,2400,差し,137,13,31,0.0949,0.2263
東京,芝,2400,追い込み,133,7,25,0.0526,0.188
東京,芝,2400,逃げ切り,48,6,18,0.125,0.375
東京,芝,2500,先行押し切り,4,1,2,0.25,0.5
東京,芝,2500,追い込み,2,0,1,0.0,0.5
東京,芝,2500,逃げ切り,1,0,0,0.0,0.0
福島,ダ,1150,先行押し切り,175,24,69,0.1371,0.3943
福島,ダ,1150,差し,284,10,37,0.0352,0.1303
福島,ダ,1150,追い込み,247,2,14,0.0081,0.0567
福島,ダ,1150,逃げ切り,50,14,30,0.28,0.6
福島,ダ,1700,まくり,10,2,5,0.2,0.5
福島,ダ,1700,先行押し切り,212,33,89,0.1557,0.4198
福島,ダ,1700,差し,321,14,57,0.0436,0.1776
福島,ダ,1700,追い込み,246,2,6,0.0081,0.0244
福島,ダ,1700,逃げ切り,66,11,29,0.1667,0.4394
福島,芝,1200,先行押し切り,230,30,79,0.1304,0.3435
福島,芝,1200,差し,346,15,64,0.0434,0.185
福島,芝,1200,追い込み,259,5,18,0.0193,0.0695
福島,芝,1200,逃げ切り,63,13,28,0.2063,0.4444
福島,芝,1800,まくり,4,0,2,0.0,0.5
福島,芝,1800,先行押し切り,117,15,40,0.1282,0.3419
福島,芝,1800,差し,173,7,27,0.0405,0.1561
福島,芝,1800,追い込み,123,4,11,0.0325,0.0894
福島,芝,1800,逃げ切り,31,5,13,0.1613,0.4194
福島,芝,2000,まくり,5,0,0,0.0,0.0
福島,芝,2000,先行押し切り,102,11,40,0.1078,0.3922
福島,芝,2000,差し,131,9,30,0.0687,0.229
福島,芝,2000,追い込み,115,4,8,0.0348,0.0696
福島,芝,2000,逃げ切り,32,5,9,0.1562,0.2812
福島,芝,2600,まくり,8,2,5,0.25,0.625
福島,芝,2600,先行押し切り,78,9,27,0.1154,0.3462
福島,芝,2600,差し,116,6,24,0.0517,0.2069
福島,芝,2600,追い込み,86,2,5,0.0233,0.0581
福島,芝,2600,逃げ切り,28,5,11,0.1786,0.3929
阪神,ダ,1200,先行押し切り,240,31,85,0.1292,0.3542
阪神,ダ,1200,差し,333,22,68,0.0661,0.2042
阪神,ダ,1200,追い込み,276,5,14,0.0181,0.0507
阪神,ダ,1200,逃げ切り,62,4,19,0.0645,0.3065
阪神,ダ,1400,先行押し切り,262,39,95,0.1489,0.3626
阪神,ダ,1400,差し,359,18,75,0.0501,0.2089
阪神,ダ,1400,追い込み,310,8,20,0.0258,0.0645
