前走競馬場,前走芝ダ,前走距離数値,前4角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
中京,ダ,1200,1番手,50,7,12,3270.0,4920.0,14.0,24.0,65.4,98.4
中京,ダ,1200,2-3番手,139,12,41,4510.0,12530.0,8.63,29.5,32.45,90.14
中京,ダ,1200,4-6番手,127,12,29,39290.0,10900.0,9.45,22.83,309.37,85.83
中京,ダ,1200,7-10番手,250,11,46,11450.0,19750.0,4.4,18.4,45.8,79.0
中京,ダ,1200,11番手以下,89,1,7,370.0,2740.0,1.12,7.87,4.16,30.79
中京,ダ,1400,1番手,58,5,16,3200.0,5390.0,8.62,27.59,55.17,92.93
中京,ダ,1400,2-3番手,204,31,69,21350.0,23310.0,15.2,33.82,104.66,114.26
中京,ダ,1400,4-6番手,166,13,36,9790.0,10020.0,7.83,21.69,58.98,60.36
中京,ダ,1400,7-10番手,321,20,66,26970.0,28150.0,6.23,20.56,84.02,87.69
中京,ダ,1400,11番手以下,113,0,11,0.0,7120.0,0.0,9.73,0.0,63.01
中京,ダ,1800,1番手,93,10,22,5460.0,5160.0,10.75,23.66,58.71,55.48
中京,ダ,1800,2-3番手,198,20,51,12090.0,12200.0,10.1,25.76,61.06,61.62
中京,ダ,1800,4-6番手,192,21,50,12800.0,11390.0,10.94,26.04,66.67,59.32
中京,ダ,1800,7-10番手,381,19,76,16570.0,30590.0,4.99,19.95,43.49,80.29
中京,ダ,1800,11番手以下,116,7,20,16630.0,10990.0,6.03,17.24,143.36,94.74
中京,ダ,1900,1番手,42,4,15,2400.0,4540.0,9.52,35.71,57.14,108.1
中京,ダ,1900,2-3番手,89,5,24,11310.0,8900.0,5.62,26.97,127.08,100.0
中京,ダ,1900,4-6番手,89,8,24,4840.0,5480.0,8.99,26.97,54.38,61.57
中京,ダ,1900,7-10番手,153,5,25,5120.0,11960.0,3.27,16.34,33.46,78.17
中京,ダ,1900,11番手以下,60,2,9,3790.0,3950.0,3.33,15.0,63.17,65.83
中京,芝,1200,1番手,34,8,14,7100.0,3910.0,23.53,41.18,208.82,115.0
中京,芝,1200,2-3番手,88,8,20,7150.0,5590.0,9.09,22.73,81.25,63.52
中京,芝,1200,4-6番手,101,12,26,11370.0,7460.0,11.88,25.74,112.57,73.86
中京,芝,1200,7-10番手,177,13,42,19160.0,13800.0,7.34,23.73,108.25,77.97
中京,芝,1200,11番手以下,61,0,4,0.0,2900.0,0.0,6.56,0.0,47.54
中京,芝,1400,1番手,41,3,8,2060.0,2480.0,7.32,19.51,50.24,60.49
中京,芝,1400,2-3番手,103,17,27,19210.0,8120.0,16.5,26.21,186.5,78.83
中京,芝,1400,4-6番手,106,11,28,9610.0,8980.0,10.38,26.42,90.66,84.72
中京,芝,1400,7-10番手,177,16,36,22400.0,11410.0,9.04,20.34,126.55,64.46
中京,芝,1400,11番手以下,62,2,11,1280.0,3420.0,3.23,17.74,20.65,55.16
中京,芝,1600,1番手,57,6,12,4160.0,3350.0,10.53,21.05,72.98,58.77
中京,芝,1600,2-3番手,140,14,35,10780.0,10510.0,10.0,25.0,77.0,75.07
中京,芝,1600,4-6番手,123,15,31,16730.0,7680.0,12.2,25.2,136.02,62.44
中京,芝,1600,7-10番手,247,15,56,13600.0,22680.0,6.07,22.67,55.06,91.82
中京,芝,1600,11番手以下,84,4,12,3240.0,4580.0,4.76,14.29,38.57,54.52
中京,芝,2000,1番手,66,5,20,2610.0,5020.0,7.58,30.3,39.55,76.06
中京,芝,2000,2-3番手,126,14,32,16470.0,8520.0,11.11,25.4,130.71,67.62
中京,芝,2000,4-6番手,158,21,57,19900.0,20500.0,13.29,36.08,125.95,129.75
中京,芝,2000,7-10番手,256,18,54,16510.0,13840.0,7.03,21.09,64.49,54.06
中京,芝,2000,11番手以下,97,4,13,960.0,3530.0,4.12,13.4,9.9,36.39
中京,芝,2200,1番手,38,7,16,7500.0,4330.0,18.42,42.11,197.37,113.95
中京,芝,2200,2-3番手,71,7,25,5330.0,7260.0,9.86,35.21,75.07,102.25
中京,芝,2200,4-6番手,82,8,28,3700.0,7420.0,9.76,34.15,45.12,90.49
中京,芝,2200,7-10番手,146,12,49,8470.0,13220.0,8.22,33.56,58.01,90.55
中京,芝,2200,11番手以下,52,4,12,2140.0,3080.0,7.69,23.08,41.15,59.23
中京,芝,3000,1番手,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3000,2-3番手,6,1,1,370.0,160.0,16.67,16.67,61.67,26.67
中京,芝,3000,4-6番手,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3000,7-10番手,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3000,11番手以下,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3300,1番手,1,0,1,0.0,120.0,0.0,100.0,0.0,120.0
中京,芝,3300,2-3番手,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3300,4-6番手,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3300,7-10番手,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3300,11番手以下,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3330,2-3番手,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3330,7-10番手,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
中京,芝,3900,2-3番手,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
