前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
阪神,芝,1800,1番手,56,7,15,7830.0,4400.0,12.5,26.79,139.82,78.57
阪神,芝,1800,2-3番手,82,11,30,8660.0,7680.0,13.41,36.59,105.61,93.66
阪神,芝,1800,4-6番手,124,23,42,15310.0,9220.0,18.55,33.87,123.47,74.35
阪神,芝,1800,7-10番手,200,24,55,14680.0,14180.0,12.0,27.5,73.4,70.9
阪神,芝,1800,11番手以下,83,6,17,4710.0,4270.0,7.23,20.48,56.75,51.45
阪神,芝,2000,1番手,60,10,16,12010.0,4890.0,16.67,26.67,200.17,81.5
阪神,芝,2000,2-3番手,97,8,27,4270.0,7660.0,8.25,27.84,44.02,78.97
阪神,芝,2000,4-6番手,121,7,37,3990.0,10390.0,5.79,30.58,32.98,85.87
阪神,芝,2000,7-10番手,240,21,64,13860.0,15920.0,8.75,26.67,57.75,66.33
阪神,芝,2000,11番手以下,96,7,22,7870.0,6690.0,7.29,22.92,81.98,69.69
阪神,芝,2200,2-3番手,28,0,4,0.0,2540.0,0.0,14.29,0.0,90.71
阪神,芝,2200,4-6番手,36,8,15,5870.0,3970.0,22.22,41.67,163.06,110.28
阪神,芝,2200,7-10番手,66,5,20,4150.0,6050.0,7.58,30.3,62.88,91.67
阪神,芝,2200,11番手以下,21,0,2,0.0,820.0,0.0,9.52,0.0,39.05
阪神,芝,2400,1番手,30,2,6,2670.0,1220.0,6.67,20.0,89.0,40.67
阪神,芝,2400,2-3番手,35,5,10,1660.0,1540.0,14.29,28.57,47.43,44.0
阪神,芝,2400,4-6番手,73,10,24,9450.0,5610.0,13.7,32.88,129.45,76.85
阪神,芝,2400,7-10番手,111,6,31,2140.0,6990.0,5.41,27.93,19.28,62.97
阪神,芝,2400,11番手以下,46,4,10,3910.0,2250.0,8.7,21.74,85.0,48.91
阪神,芝,2600,7-10番手,26,2,6,740.0,770.0,7.69,23.08,28.46,29.62
阪神,芝,3000,4-6番手,20,0,2,0.0,430.0,0.0,10.0,0.0,21.5
阪神,芝,3000,7-10番手,31,1,6,190.0,1240.0,3.23,19.35,6.13,40.0
