前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
京都,芝,1600.0,10番手以下,113,5,24,0.0442,0.2124,84.2,89.6
京都,芝,1800.0,1番手,36,0,4,0.0,0.1111,30.3,18.6
京都,芝,1800.0,2-3番手,78,8,25,0.1026,0.3205,86.7,89.6
京都,芝,1800.0,4-6番手,86,8,27,0.093,0.314,178.9,78.4
京都,芝,1800.0,7-9番手,74,7,16,0.0946,0.2162,114.4,51.4
京都,芝,1800.0,10番手以下,32,2,6,0.0625,0.1875,141.0,42.8
京都,芝,2000.0,1番手,37,4,8,0.1081,0.2162,93.8,67.0
京都,芝,2000.0,2-3番手,83,8,24,0.0964,0.2892,82.5,78.8
京都,芝,2000.0,4-6番手,78,10,22,0.1282,0.2821,111.4,60.6
京都,芝,2000.0,7-9番手,69,5,23,0.0725,0.3333,83.8,102.9
京都,芝,2000.0,10番手以下,66,3,10,0.0455,0.1515,106.3,35.2
京都,芝,2200.0,2-3番手,41,6,14,0.1463,0.3415,78.4,68.8
京都,芝,2200.0,4-6番手,56,12,22,0.2143,0.3929,136.7,82.7
京都,芝,2200.0,7-9番手,40,3,10,0.075,0.25,80.0,48.0
京都,芝,2200.0,10番手以下,35,5,12,0.1429,0.3429,124.5,105.1
京都,芝,2400.0,2-3番手,30,5,11,0.1667,0.3667,160.2,85.7
京都,芝,2400.0,4-6番手,44,2,13,0.0455,0.2955,169.1,72.5
京都,芝,2400.0,7-9番手,34,5,11,0.1471,0.3235,110.0,70.3
京都,芝,2400.0,10番手以下,25,2,4,0.08,0.16,133.1,40.8
函館,ダ,1000.0,1番手,34,7,11,0.2059,0.3235,100.4,58.2
函館,ダ,1000.0,2-3番手,72,11,26,0.1528,0.3611,94.0,67.5
函館,ダ,1000.0,4-6番手,68,4,17,0.0588,0.25,100.1,71.9
函館,ダ,1000.0,7-9番手,62,3,10,0.0484,0.1613,150.4,101.3
函館,ダ,1000.0,10番手以下,35,0,4,0.0,0.1143,98.1,34.0
函館,ダ,1700.0,1番手,61,6,20,0.0984,0.3279,59.4,66.9
函館,ダ,1700.0,2-3番手,164,18,45,0.1098,0.2744,91.3,66.5
函館,ダ,1700.0,4-6番手,137,10,33,0.073,0.2409,96.6,56.3
函館,ダ,1700.0,7-9番手,149,13,33,0.0872,0.2215,187.6,96.5
函館,ダ,1700.0,10番手以下,130,5,22,0.0385,0.1692,124.6,58.6
函館,芝,1200.0,1番手,71,7,17,0.0986,0.2394,68.9,51.5
函館,芝,1200.0,2-3番手,187,15,54,0.0802,0.2888,74.7,87.4
函館,芝,1200.0,4-6番手,182,11,33,0.0604,0.1813,79.8,50.6
函館,芝,1200.0,7-9番手,162,15,37,0.0926,0.2284,117.3,67.8
函館,芝,1200.0,10番手以下,214,8,32,0.0374,0.1495,115.4,51.1
函館,芝,1800.0,1番手,34,4,9,0.1176,0.2647,117.2,65.9
函館,芝,1800.0,2-3番手,72,9,23,0.125,0.3194,118.3,89.0
函館,芝,1800.0,4-6番手,84,6,19,0.0714,0.2262,96.0,53.8
函館,芝,1800.0,7-9番手,75,7,19,0.0933,0.2533,120.7,103.5
函館,芝,1800.0,10番手以下,85,8,19,0.0941,0.2235,210.1,86.6
函館,芝,2000.0,1番手,20,0,5,0.0,0.25,48.7,72.5
函館,芝,2000.0,2-3番手,59,3,21,0.0508,0.3559,74.5,116.6
函館,芝,2000.0,4-6番手,69,2,8,0.029,0.1159,68.0,76.2
函館,芝,2000.0,7-9番手,50,5,9,0.1,0.18,167.8,101.8
函館,芝,2000.0,10番手以下,37,2,6,0.0541,0.1622,72.3,45.9
函館,芝,2600.0,2-3番手,23,2,5,0.087,0.2174,74.6,37.8
函館,芝,2600.0,4-6番手,31,0,7,0.0,0.2258,19.9,84.5
函館,芝,2600.0,7-9番手,32,1,5,0.0312,0.1562,78.8,35.6
名古,ダ,1500.0,1番手,43,1,2,0.0233,0.0465,178.6,16.0
名古,ダ,1500.0,2-3番手,31,2,6,0.0645,0.1935,176.6,132.9
名古,ダ,1500.0,4-6番手,26,0,3,0.0,0.1154,180.1,18.5
園田,ダ,1400.0,1番手,59,5,11,0.0847,0.1864,81.6,76.9
園田,ダ,1400.0,2-3番手,73,4,9,0.0548,0.1233,234.2,64.7
園田,ダ,1400.0,4-6番手,53,2,7,0.0377,0.1321,137.3,61.5
園田,ダ,1400.0,7-9番手,24,0,4,0.0,0.1667,153.5,147.5
小倉,ダ,1000.0,1番手,54,6,13,0.1111,0.2407,62.7,62.0
小倉,ダ,1000.0,2-3番手,107,9,33,0.0841,0.3084,70.5,67.8
小倉,ダ,1000.0,4-6番手,120,7,26,0.0583,0.2167,116.0,59.1
小倉,ダ,1000.0,7-9番手,100,4,21,0.04,0.21,86.3,75.7
小倉,ダ,1000.0,10番手以下,124,3,7,0.0242,0.0565,191.0,25.2
小倉,ダ,1700.0,1番手,114,17,33,0.1491,0.2895,112.6,73.2
小倉,ダ,1700.0,2-3番手,268,28,67,0.1045,0.25,137.1,99.6
小倉,ダ,1700.0,4-6番手,292,25,69,0.0856,0.2363,127.9,71.4
小倉,ダ,1700.0,7-9番手,272,15,52,0.0551,0.1912,83.0,72.3
小倉,ダ,1700.0,10番手以下,407,16,61,0.0393,0.1499,142.8,65.1
小倉,芝,1200.0,1番手,115,10,27,0.087,0.2348,61.2,64.6
小倉,芝,1200.0,2-3番手,257,27,74,0.1051,0.2879,137.6,86.3
小倉,芝,1200.0,4-6番手,289,18,65,0.0623,0.2249,131.7,71.1
小倉,芝,1200.0,7-9番手,254,21,47,0.0827,0.185,126.8,62.6
小倉,芝,1200.0,10番手以下,474,15,60,0.0316,0.1266,103.0,60.2
小倉,芝,1800.0,1番手,56,4,9,0.0714,0.1607,92.6,34.5
小倉,芝,1800.0,2-3番手,132,9,29,0.0682,0.2197,105.1,63.6
小倉,芝,1800.0,4-6番手,200,18,59,0.09,0.295,111.1,125.9
小倉,芝,1800.0,7-9番手,146,12,36,0.0822,0.2466,272.6,106.3
小倉,芝,1800.0,10番手以下,173,5,28,0.0289,0.1618,134.5,68.7
小倉,芝,2000.0,1番手,51,6,13,0.1176,0.2549,96.4,68.6
小倉,芝,2000.0,2-3番手,131,11,41,0.084,0.313,84.7,87.3
小倉,芝,2000.0,4-6番手,160,13,46,0.0812,0.2875,71.6,70.4
小倉,芝,2000.0,7-9番手,109,4,21,0.0367,0.1927,99.3,75.2
小倉,芝,2000.0,10番手以下,135,3,19,0.0222,0.1407,75.5,43.5
小倉,芝,2600.0,1番手,22,2,3,0.0909,0.1364,68.0,17.3
小倉,芝,2600.0,2-3番手,48,1,12,0.0208,0.25,37.8,79.8
小倉,芝,2600.0,4-6番手,55,3,18,0.0545,0.3273,92.0,80.4
小倉,芝,2600.0,7-9番手,56,7,14,0.125,0.25,118.8,77.9
小倉,芝,2600.0,10番手以下,56,0,7,0.0,0.125,94.5,56.8
小倉,芝,2860.0,1番手,37,3,10,0.0811,0.2703,45.9,43.2
小倉,芝,2860.0,2-3番手,40,5,9,0.125,0.225,87.3,44.0
小倉,芝,2860.0,4-6番手,39,1,4,0.0256,0.1026,88.6,43.8
小倉,芝,2860.0,7-9番手,24,2,4,0.0833,0.1667,179.4,42.5
小倉,芝,2860.0,10番手以下,26,0,2,0.0,0.0769,151.2,55.0
小倉,芝,3390.0,2-3番手,27,2,10,0.0741,0.3704,50.2,113.3
小倉,芝,3390.0,4-6番手,32,3,6,0.0938,0.1875,54.9,51.2
小倉,芝,3390.0,7-9番手,36,0,5,0.0,0.1389,39.5,43.1
小倉,芝,3390.0,10番手以下,20,0,2,0.0,0.1,119.3,69.5
川崎,ダ,1600.0,1番手,23,1,4,0.0435,0.1739,139.2,116.1
川崎,ダ,1600.0,2-3番手,27,2,6,0.0741,0.2222,128.9,150.7
川崎,ダ,1600.0,4-6番手,36,2,4,0.0556,0.1111,117.9,16.1
川崎,ダ,1600.0,7-9番手,22,0,1,0.0,0.0455,200.7,14.5
新潟,ダ,1200.0,1番手,89,11,25,0.1236,0.2809,83.1,67.9
新潟,ダ,1200.0,2-3番手,174,17,46,0.0977,0.2644,132.8,73.5
新潟,ダ,1200.0,4-6番手,217,15,46,0.0691,0.212,115.5,74.2
新潟,ダ,1200.0,7-9番手,199,12,36,0.0603,0.1809,136.6,97.9
新潟,ダ,1200.0,10番手以下,283,10,40,0.0353,0.1413,138.6,64.2
新潟,ダ,1800.0,1番手,99,9,35,0.0909,0.3535,64.2,80.6
新潟,ダ,1800.0,2-3番手,237,26,73,0.1097,0.308,92.3,85.3
新潟,ダ,1800.0,4-6番手,277,22,60,0.0794,0.2166,119.9,63.1
新潟,ダ,1800.0,7-9番手,234,15,47,0.0641,0.2009,128.9,56.5
新潟,ダ,1800.0,10番手以下,296,13,56,0.0439,0.1892,153.0,118.2
新潟,芝,1200.0,1番手,25,2,7,0.08,0.28,60.9,54.0
新潟,芝,1200.0,2-3番手,55,8,14,0.1455,0.2545,164.5,84.0
新潟,芝,1200.0,4-6番手,64,15,20,0.2344,0.3125,274.5,81.7
新潟,芝,1200.0,7-9番手,68,3,10,0.0441,0.1471,75.7,42.1
新潟,芝,1200.0,10番手以下,121,3,19,0.0248,0.157,92.6,66.0
新潟,芝,1400.0,1番手,26,3,8,0.1154,0.3077,104.8,65.8
新潟,芝,1400.0,2-3番手,70,6,16,0.0857,0.2286,105.0,60.9
新潟,芝,1400.0,4-6番手,67,3,11,0.0448,0.1642,181.9,59.4
新潟,芝,1400.0,7-9番手,67,3,10,0.0448,0.1493,115.6,77.8
新潟,芝,1400.0,10番手以下,133,3,21,0.0226,0.1579,120.1,84.7
新潟,芝,1600.0,1番手,25,3,5,0.12,0.2,124.8,78.8
新潟,芝,1600.0,2-3番手,73,7,15,0.0959,0.2055,96.5,61.5
新潟,芝,1600.0,4-6番手,77,7,21,0.0909,0.2727,80.1,106.6
新潟,芝,1600.0,7-9番手,79,8,22,0.1013,0.2785,98.1,89.7
新潟,芝,1600.0,10番手以下,115,9,16,0.0783,0.1391,111.0,45.7
新潟,芝,1800.0,1番手,38,5,11,0.1316,0.2895,151.5,73.4
新潟,芝,1800.0,2-3番手,93,9,22,0.0968,0.2366,101.7,61.5
新潟,芝,1800.0,4-6番手,117,8,36,0.0684,0.3077,90.5,72.4
新潟,芝,1800.0,7-9番手,95,4,13,0.0421,0.1368,63.9,32.8
新潟,芝,1800.0,10番手以下,131,8,21,0.0611,0.1603,165.2,72.6
新潟,芝,2000.0,1番手,27,5,6,0.1852,0.2222,275.2,87.0
新潟,芝,2000.0,2-3番手,85,5,17,0.0588,0.2,101.6,97.4
新潟,芝,2000.0,4-6番手,90,4,20,0.0444,0.2222,75.1,70.7
新潟,芝,2000.0,7-9番手,69,4,13,0.058,0.1884,117.6,59.1
新潟,芝,2000.0,10番手以下,93,2,15,0.0215,0.1613,127.4,80.1
新潟,芝,2200.0,2-3番手,34,3,9,0.0882,0.2647,75.5,46.5
新潟,芝,2200.0,4-6番手,43,6,12,0.1395,0.2791,179.1,67.0
新潟,芝,2200.0,7-9番手,50,7,14,0.14,0.28,132.2,50.6
新潟,芝,2200.0,10番手以下,44,6,14,0.1364,0.3182,152.8,152.7
新潟,芝,2890.0,2-3番手,24,2,5,0.0833,0.2083,66.4,49.6
新潟,芝,2890.0,4-6番手,23,2,6,0.087,0.2609,103.4,76.5
新潟,芝,2890.0,7-9番手,21,0,8,0.0,0.381,53.1,148.1
新潟,芝,2890.0,10番手以下,30,1,4,0.0333,0.1333,185.4,59.0
札幌,ダ,1000.0,1番手,29,3,7,0.1034,0.2414,65.6,57.2
札幌,ダ,1000.0,2-3番手,50,3,9,0.06,0.18,54.1,41.0
札幌,ダ,1000.0,4-6番手,55,1,9,0.0182,0.1636,56.2,48.7
札幌,ダ,1000.0,7-9番手,50,0,3,0.0,0.06,78.6,38.0
札幌,ダ,1000.0,10番手以下,36,1,5,0.0278,0.1389,125.8,31.4
札幌,ダ,1700.0,1番手,55,3,11,0.0545,0.2,64.3,43.3
札幌,ダ,1700.0,2-3番手,137,8,29,0.0584,0.2117,63.4,60.7
札幌,ダ,1700.0,4-6番手,184,9,42,0.0489,0.2283,93.3,55.5
札幌,ダ,1700.0,7-9番手,136,9,23,0.0662,0.1691,126.5,40.0
札幌,ダ,1700.0,10番手以下,166,5,22,0.0301,0.1325,167.4,81.1
札幌,芝,1200.0,1番手,41,3,12,0.0732,0.2927,64.8,66.8
札幌,芝,1200.0,2-3番手,90,8,16,0.0889,0.1778,90.3,57.3
札幌,芝,1200.0,4-6番手,103,6,27,0.0583,0.2621,90.5,95.6
札幌,芝,1200.0,7-9番手,75,4,18,0.0533,0.24,80.8,80.0
札幌,芝,1200.0,10番手以下,143,6,27,0.042,0.1888,173.0,88.5
札幌,芝,1500.0,1番手,28,10,12,0.3571,0.4286,348.4,131.1
札幌,芝,1500.0,2-3番手,56,8,14,0.1429,0.25,120.0,82.9
札幌,芝,1500.0,4-6番手,56,4,10,0.0714,0.1786,346.3,83.4
札幌,芝,1500.0,7-9番手,52,0,5,0.0,0.0962,61.2,16.5
札幌,芝,1500.0,10番手以下,57,1,4,0.0175,0.0702,89.8,25.4
札幌,芝,1800.0,1番手,27,2,7,0.0741,0.2593,86.3,69.3
札幌,芝,1800.0,2-3番手,66,7,17,0.1061,0.2576,301.3,98.8
札幌,芝,1800.0,4-6番手,70,6,19,0.0857,0.2714,241.9,77.7
札幌,芝,1800.0,7-9番手,63,3,10,0.0476,0.1587,76.0,84.0
札幌,芝,1800.0,10番手以下,55,1,8,0.0182,0.1455,75.0,42.0
札幌,芝,2000.0,1番手,36,3,11,0.0833,0.3056,116.6,99.4
札幌,芝,2000.0,2-3番手,75,9,24,0.12,0.32,135.3,96.7
札幌,芝,2000.0,4-6番手,72,3,15,0.0417,0.2083,82.9,84.2
札幌,芝,2000.0,7-9番手,76,8,16,0.1053,0.2105,125.0,60.0
札幌,芝,2000.0,10番手以下,101,5,18,0.0495,0.1782,122.7,87.4
札幌,芝,2600.0,2-3番手,38,3,6,0.0789,0.1579,91.1,47.6
札幌,芝,2600.0,4-6番手,43,5,12,0.1163,0.2791,100.8,106.7
札幌,芝,2600.0,7-9番手,39,2,7,0.0513,0.1795,90.6,53.8
札幌,芝,2600.0,10番手以下,39,2,7,0.0513,0.1795,122.9,76.7
東京,ダ,1300.0,1番手,25,1,8,0.04,0.32,54.4,77.6
東京,ダ,1300.0,2-3番手,65,6,17,0.0923,0.2615,289.2,125.1
東京,ダ,1300.0,4-6番手,62,7,20,0.1129,0.3226,99.9,88.1
東京,ダ,1300.0,7-9番手,74,4,12,0.0541,0.1622,101.6,53.8
東京,ダ,1300.0,10番手以下,113,5,13,0.0442,0.115,138.0,46.0
東京,ダ,1400.0,1番手,139,15,36,0.1079,0.259,100.3,87.3
東京,ダ,1400.0,2-3番手,324,32,81,0.0988,0.25,151.6,91.0
東京,ダ,1400.0,4-6番手,372,32,99,0.086,0.2661,177.6,87.9
東京,ダ,1400.0,7-9番手,338,27,69,0.0799,0.2041,120.4,72.0
東京,ダ,1400.0,10番手以下,638,29,98,0.0455,0.1536,159.8,64.5
東京,ダ,1600.0,1番手,163,10,35,0.0613,0.2147,78.0,55.5
東京,ダ,1600.0,2-3番手,405,35,110,0.0864,0.2716,95.2,67.5
東京,ダ,1600.0,4-6番手,423,34,119,0.0804,0.2813,83.4,82.3
東京,ダ,1600.0,7-9番手,427,35,94,0.082,0.2201,110.6,58.7
東京,ダ,1600.0,10番手以下,666,36,131,0.0541,0.1967,124.0,76.4
東京,ダ,2100.0,1番手,58,6,13,0.1034,0.2241,80.6,49.7
東京,ダ,2100.0,2-3番手,144,13,35,0.0903,0.2431,86.1,53.1
東京,ダ,2100.0,4-6番手,161,9,29,0.0559,0.1801,148.5,53.9
東京,ダ,2100.0,7-9番手,157,14,35,0.0892,0.2229,154.6,70.7
東京,ダ,2100.0,10番手以下,255,19,57,0.0745,0.2235,168.5,73.7
東京,芝,1400.0,1番手,73,7,25,0.0959,0.3425,84.3,92.1
東京,芝,1400.0,2-3番手,191,15,48,0.0785,0.2513,123.8,74.1
東京,芝,1400.0,4-6番手,210,13,51,0.0619,0.2429,80.9,69.2
東京,芝,1400.0,7-9番手,223,15,55,0.0673,0.2466,97.3,62.7
東京,芝,1400.0,10番手以下,279,18,52,0.0645,0.1864,139.9,68.6
東京,芝,1600.0,1番手,100,8,28,0.08,0.28,66.5,72.8
東京,芝,1600.0,2-3番手,240,26,71,0.1083,0.2958,101.2,80.9
東京,芝,1600.0,4-6番手,266,30,81,0.1128,0.3045,92.5,76.0
東京,芝,1600.0,7-9番手,228,24,58,0.1053,0.2544,153.3,67.7
東京,芝,1600.0,10番手以下,296,26,63,0.0878,0.2128,180.0,67.9
東京,芝,1800.0,1番手,79,5,14,0.0633,0.1772,161.8,56.7
東京,芝,1800.0,2-3番手,198,25,62,0.1263,0.3131,99.4,77.3
東京,芝,1800.0,4-6番手,191,16,56,0.0838,0.2932,76.7,68.8
東京,芝,1800.0,7-9番手,174,17,51,0.0977,0.2931,112.5,71.0
東京,芝,1800.0,10番手以下,162,9,40,0.0556,0.2469,106.8,59.2
東京,芝,2000.0,1番手,63,8,19,0.127,0.3016,98.7,90.2
東京,芝,2000.0,2-3番手,144,17,43,0.1181,0.2986,83.2,66.9
東京,芝,2000.0,4-6番手,176,22,57,0.125,0.3239,175.7,74.7
東京,芝,2000.0,7-9番手,143,11,40,0.0769,0.2797,83.8,64.5
