前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
中京,ダ,1200.0,1番手,61,9,17,0.1475,0.2787,105.0,96.4
中京,ダ,1200.0,2-3番手,130,11,35,0.0846,0.2692,200.8,100.8
中京,ダ,1200.0,4-6番手,155,15,44,0.0968,0.2839,189.2,92.1
中京,ダ,1200.0,7-9番手,156,6,25,0.0385,0.1603,111.9,75.2
中京,ダ,1200.0,10番手以下,256,7,39,0.0273,0.1523,112.3,60.9
中京,ダ,1400.0,1番手,73,7,18,0.0959,0.2466,88.0,70.3
中京,ダ,1400.0,2-3番手,182,24,58,0.1319,0.3187,129.7,105.9
中京,ダ,1400.0,4-6番手,225,25,64,0.1111,0.2844,107.0,81.3
中京,ダ,1400.0,7-9番手,216,9,42,0.0417,0.1944,123.0,79.7
中京,ダ,1400.0,10番手以下,359,17,53,0.0474,0.1476,142.8,67.8
中京,ダ,1800.0,1番手,107,11,25,0.1028,0.2336,99.4,59.8
中京,ダ,1800.0,2-3番手,265,25,71,0.0943,0.2679,79.8,56.2
中京,ダ,1800.0,4-6番手,300,28,76,0.0933,0.2533,104.7,73.5
中京,ダ,1800.0,7-9番手,244,14,58,0.0574,0.2377,154.7,86.0
中京,ダ,1800.0,10番手以下,254,12,44,0.0472,0.1732,107.8,76.1
中京,ダ,1900.0,1番手,47,3,16,0.0638,0.3404,66.2,90.2
中京,ダ,1900.0,2-3番手,92,7,24,0.0761,0.2609,151.1,100.4
中京,ダ,1900.0,4-6番手,133,3,31,0.0226,0.2331,51.9,65.2
中京,ダ,1900.0,7-9番手,110,9,25,0.0818,0.2273,153.4,86.4
中京,ダ,1900.0,10番手以下,127,3,20,0.0236,0.1575,92.7,72.8
中京,芝,1200.0,1番手,37,9,15,0.2432,0.4054,228.0,109.5
中京,芝,1200.0,2-3番手,80,8,18,0.1,0.225,110.8,58.5
中京,芝,1200.0,4-6番手,113,15,28,0.1327,0.2478,188.6,72.8
中京,芝,1200.0,7-9番手,81,4,22,0.0494,0.2716,137.9,81.4
中京,芝,1200.0,10番手以下,174,7,27,0.0402,0.1552,104.6,61.7
中京,芝,1400.0,1番手,42,3,8,0.0714,0.1905,71.3,59.0
中京,芝,1400.0,2-3番手,100,14,24,0.14,0.24,232.0,83.4
中京,芝,1400.0,4-6番手,115,15,37,0.1304,0.3217,117.7,91.9
中京,芝,1400.0,7-9番手,104,12,25,0.1154,0.2404,211.4,84.5
中京,芝,1400.0,10番手以下,167,9,26,0.0539,0.1557,117.8,38.5
中京,芝,1600.0,1番手,64,6,13,0.0938,0.2031,105.9,54.5
中京,芝,1600.0,2-3番手,165,20,40,0.1212,0.2424,115.5,65.8
中京,芝,1600.0,4-6番手,164,14,42,0.0854,0.2561,146.9,71.7
中京,芝,1600.0,7-9番手,139,11,40,0.0791,0.2878,113.0,86.8
中京,芝,1600.0,10番手以下,178,7,26,0.0393,0.1461,120.8,83.3
中京,芝,2000.0,1番手,67,5,18,0.0746,0.2687,84.5,59.3
中京,芝,2000.0,2-3番手,190,25,64,0.1316,0.3368,165.1,100.4
中京,芝,2000.0,4-6番手,201,14,50,0.0697,0.2488,103.3,73.6
中京,芝,2000.0,7-9番手,163,10,34,0.0613,0.2086,109.3,71.5
中京,芝,2000.0,10番手以下,132,9,21,0.0682,0.1591,115.9,39.2
中京,芝,2200.0,1番手,39,7,16,0.1795,0.4103,211.3,111.0
中京,芝,2200.0,2-3番手,101,9,29,0.0891,0.2871,76.0,73.5
中京,芝,2200.0,4-6番手,122,11,44,0.0902,0.3607,104.9,106.6
中京,芝,2200.0,7-9番手,95,8,32,0.0842,0.3368,100.7,79.9
中京,芝,2200.0,10番手以下,56,6,16,0.1071,0.2857,105.3,80.5
中山,ダ,1200.0,1番手,175,12,32,0.0686,0.1829,65.1,40.6
中山,ダ,1200.0,2-3番手,385,27,91,0.0701,0.2364,107.2,70.4
中山,ダ,1200.0,4-6番手,420,33,83,0.0786,0.1976,106.3,56.7
中山,ダ,1200.0,7-9番手,383,18,61,0.047,0.1593,133.0,72.7
中山,ダ,1200.0,10番手以下,716,27,98,0.0377,0.1369,148.2,73.9
中山,ダ,1800.0,1番手,187,21,60,0.1123,0.3209,139.7,90.2
中山,ダ,1800.0,2-3番手,431,37,101,0.0858,0.2343,146.1,61.8
中山,ダ,1800.0,4-6番手,451,36,120,0.0798,0.2661,137.6,87.8
中山,ダ,1800.0,7-9番手,408,14,66,0.0343,0.1618,109.1,64.2
中山,ダ,1800.0,10番手以下,622,26,85,0.0418,0.1367,161.9,53.0
中山,ダ,2400.0,1番手,20,2,6,0.1,0.3,497.8,167.5
中山,ダ,2400.0,2-3番手,57,4,17,0.0702,0.2982,70.4,60.5
中山,ダ,2400.0,4-6番手,53,3,10,0.0566,0.1887,98.2,55.1
中山,ダ,2400.0,7-9番手,46,3,8,0.0652,0.1739,137.0,74.8
中山,ダ,2400.0,10番手以下,83,3,9,0.0361,0.1084,114.2,24.8
中山,芝,1200.0,1番手,59,5,15,0.0847,0.2542,52.7,54.1
中山,芝,1200.0,2-3番手,159,10,43,0.0629,0.2704,78.6,91.3
中山,芝,1200.0,4-6番手,164,6,40,0.0366,0.2439,120.6,99.8
中山,芝,1200.0,7-9番手,182,10,31,0.0549,0.1703,100.6,53.2
中山,芝,1200.0,10番手以下,246,8,35,0.0325,0.1423,139.1,78.7
中山,芝,1600.0,1番手,95,10,17,0.1053,0.1789,105.3,36.4
中山,芝,1600.0,2-3番手,230,17,63,0.0739,0.2739,77.0,71.4
中山,芝,1600.0,4-6番手,254,20,68,0.0787,0.2677,133.4,74.3
中山,芝,1600.0,7-9番手,221,14,43,0.0633,0.1946,106.6,57.3
中山,芝,1600.0,10番手以下,303,14,50,0.0462,0.165,152.9,76.1
中山,芝,1800.0,1番手,57,7,11,0.1228,0.193,265.0,77.0
中山,芝,1800.0,2-3番手,140,14,47,0.1,0.3357,217.3,132.9
中山,芝,1800.0,4-6番手,150,20,47,0.1333,0.3133,95.8,78.3
中山,芝,1800.0,7-9番手,145,8,29,0.0552,0.2,114.6,95.4
中山,芝,1800.0,10番手以下,164,11,28,0.0671,0.1707,199.4,60.3
中山,芝,2000.0,1番手,59,4,13,0.0678,0.2203,63.1,59.0
中山,芝,2000.0,2-3番手,161,16,46,0.0994,0.2857,107.0,80.1
中山,芝,2000.0,4-6番手,194,19,49,0.0979,0.2526,90.1,68.9
中山,芝,2000.0,7-9番手,149,10,42,0.0671,0.2819,71.1,79.5
中山,芝,2000.0,10番手以下,202,13,49,0.0644,0.2426,121.7,81.0
中山,芝,2200.0,1番手,26,1,7,0.0385,0.2692,61.5,76.9
中山,芝,2200.0,2-3番手,68,9,23,0.1324,0.3382,93.2,75.1
中山,芝,2200.0,4-6番手,70,6,21,0.0857,0.3,92.5,70.7
中山,芝,2200.0,7-9番手,66,11,23,0.1667,0.3485,153.3,78.3
中山,芝,2200.0,10番手以下,68,2,15,0.0294,0.2206,82.6,41.5
中山,芝,2500.0,1番手,23,2,3,0.087,0.1304,75.8,25.7
中山,芝,2500.0,2-3番手,60,4,18,0.0667,0.3,70.6,75.0
中山,芝,2500.0,4-6番手,60,4,10,0.0667,0.1667,93.2,74.7
中山,芝,2500.0,7-9番手,63,5,13,0.0794,0.2063,154.0,93.7
中山,芝,2500.0,10番手以下,67,2,14,0.0299,0.209,106.1,56.4
京都,ダ,1200.0,1番手,56,11,22,0.1964,0.3929,87.8,78.4
京都,ダ,1200.0,2-3番手,122,13,42,0.1066,0.3443,114.8,101.2
京都,ダ,1200.0,4-6番手,119,12,32,0.1008,0.2689,117.9,75.6
京都,ダ,1200.0,7-9番手,112,6,23,0.0536,0.2054,139.2,69.6
京都,ダ,1200.0,10番手以下,203,5,26,0.0246,0.1281,123.6,63.7
京都,ダ,1400.0,1番手,64,12,21,0.1875,0.3281,487.1,169.4
京都,ダ,1400.0,2-3番手,127,13,29,0.1024,0.2283,137.7,61.5
京都,ダ,1400.0,4-6番手,149,9,40,0.0604,0.2685,82.8,111.2
京都,ダ,1400.0,7-9番手,133,11,29,0.0827,0.218,101.6,56.8
京都,ダ,1400.0,10番手以下,210,12,34,0.0571,0.1619,129.4,66.0
京都,ダ,1800.0,1番手,82,9,25,0.1098,0.3049,100.1,67.1
京都,ダ,1800.0,2-3番手,224,25,69,0.1116,0.308,110.5,80.7
京都,ダ,1800.0,4-6番手,234,18,63,0.0769,0.2692,99.4,97.1
京都,ダ,1800.0,7-9番手,201,17,50,0.0846,0.2488,128.1,71.7
京都,ダ,1800.0,10番手以下,222,7,43,0.0315,0.1937,123.2,67.7
京都,ダ,1900.0,1番手,32,4,10,0.125,0.3125,87.6,123.8
京都,ダ,1900.0,2-3番手,76,13,27,0.1711,0.3553,117.2,96.1
京都,ダ,1900.0,4-6番手,72,10,20,0.1389,0.2778,217.2,81.7
京都,ダ,1900.0,7-9番手,75,6,16,0.08,0.2133,88.9,54.8
京都,ダ,1900.0,10番手以下,87,5,18,0.0575,0.2069,170.7,79.2
京都,芝,1200.0,1番手,26,5,8,0.1923,0.3077,156.5,96.2
京都,芝,1200.0,2-3番手,58,3,14,0.0517,0.2414,82.1,62.2
京都,芝,1200.0,4-6番手,61,5,17,0.082,0.2787,64.9,50.0
京都,芝,1200.0,7-9番手,65,10,19,0.1538,0.2923,219.2,83.1
京都,芝,1200.0,10番手以下,120,4,20,0.0333,0.1667,97.0,69.0
京都,芝,1400.0,1番手,33,4,11,0.1212,0.3333,112.0,101.5
京都,芝,1400.0,2-3番手,88,11,32,0.125,0.3636,111.2,85.6
京都,芝,1400.0,4-6番手,105,9,26,0.0857,0.2476,93.7,55.4
京都,芝,1400.0,7-9番手,92,5,19,0.0543,0.2065,113.9,91.1
京都,芝,1400.0,10番手以下,140,4,22,0.0286,0.1571,83.0,72.0
京都,芝,1600.0,1番手,43,5,13,0.1163,0.3023,202.6,113.7
京都,芝,1600.0,2-3番手,100,12,29,0.12,0.29,105.7,59.6
京都,芝,1600.0,4-6番手,132,7,33,0.053,0.25,73.4,89.7
京都,芝,1600.0,7-9番手,104,8,29,0.0769,0.2788,82.0,73.1
